database,schema,table,column,data_type,full_type,n_rows,n_nonnull,n_distinct,agg
ANALYTICS,DBT_LEARNING,CUSTOMER_ORDERS_LEGACY,CUSTOMER_ID,NUMBER,"NUMBER(38,0)",104,104,63,5096
ANALYTICS,DBT_LEARNING,CUSTOMER_ORDERS_LEGACY,ORDER_ID,NUMBER,"NUMBER(38,0)",104,104,104,5460
ANALYTICS,DBT_LEARNING,CUSTOMER_ORDERS_LEGACY,ORDER_PLACED_AT,DATE,DATE,104,104,70,2018-01-01..2025-02-15
ANALYTICS,DBT_LEARNING,CUSTOMER_ORDERS_LEGACY,ORDER_STATUS,TEXT,TEXT(16777216),104,104,5,completed..shipped
ANALYTICS,DBT_LEARNING,CUSTOMER_ORDERS_LEGACY,TOTAL_AMOUNT_PAID,NUMBER,"NUMBER(38,6)",104,100,32,1696.000000
ANALYTICS,DBT_LEARNING,CUSTOMER_ORDERS_LEGACY,PAYMENT_FINALIZED_DATE,DATE,DATE,104,100,70,2018-01-02..2026-08-22
ANALYTICS,DBT_LEARNING,CUSTOMER_ORDERS_LEGACY,CUSTOMER_FIRST_NAME,TEXT,TEXT(16777216),104,104,56,Aaron..Willie
ANALYTICS,DBT_LEARNING,CUSTOMER_ORDERS_LEGACY,CUSTOMER_LAST_NAME,TEXT,TEXT(16777216),104,104,18,A...W.
ANALYTICS,DBT_LEARNING,CUSTOMER_ORDERS_LEGACY,TRANSACTION_SEQ,NUMBER,"NUMBER(18,0)",104,104,104,5460
ANALYTICS,DBT_LEARNING,CUSTOMER_ORDERS_LEGACY,CUSTOMER_SALES_SEQ,NUMBER,"NUMBER(18,0)",104,104,5,161
ANALYTICS,DBT_LEARNING,CUSTOMER_ORDERS_LEGACY,NVSR,TEXT,TEXT(6),104,104,2,new..return
ANALYTICS,DBT_LEARNING,CUSTOMER_ORDERS_LEGACY,RUNNING_CLV,NUMBER,"NUMBER(38,6)",104,104,46,2570.000000
ANALYTICS,DBT_LEARNING,CUSTOMER_ORDERS_LEGACY,FDOS,DATE,DATE,104,104,47,2018-01-01..2025-02-15
ANALYTICS,DBT_LEARNING,DATE_SPINE,DATE_DAY,DATE,DATE,365,365,365,2024-01-01..2024-12-30
ANALYTICS,DBT_LEARNING,DIM_CUSTOMERS,CUSTOMER_ID,NUMBER,"NUMBER(38,0)",100,100,100,5050
ANALYTICS,DBT_LEARNING,DIM_CUSTOMERS,CUSTOMER_FIRST_NAME,TEXT,TEXT(16777216),100,100,79,Aaron..Willie
ANALYTICS,DBT_LEARNING,DIM_CUSTOMERS,CUSTOMER_LAST_NAME,TEXT,TEXT(16777216),100,100,19,A...W.
ANALYTICS,DBT_LEARNING,DIM_CUSTOMERS,FIRST_ORDER_DATE,DATE,DATE,100,63,47,2018-01-01..2025-02-15
ANALYTICS,DBT_LEARNING,DIM_CUSTOMERS,MOST_RECENT_ORDER_DATE,DATE,DATE,100,63,51,2018-01-09..2025-02-15
ANALYTICS,DBT_LEARNING,DIM_CUSTOMERS,NUMBER_OF_ORDERS,NUMBER,"NUMBER(18,0)",100,100,6,104
ANALYTICS,DBT_LEARNING,DIM_CUSTOMERS,LIFETIME_VALUE,NUMBER,"NUMBER(38,2)",100,100,38,1696.00
ANALYTICS,DBT_LEARNING,EMPLOYEES,EMPLOYEE_ID,NUMBER,"NUMBER(38,0)",4,4,4,9355
ANALYTICS,DBT_LEARNING,EMPLOYEES,EMAIL,TEXT,TEXT(16777216),4,4,4,frank@jaffleshop.com..sarah@jaffleshop.com
ANALYTICS,DBT_LEARNING,EMPLOYEES,CUSTOMER_ID,NUMBER,"NUMBER(38,0)",4,4,4,24
ANALYTICS,DBT_LEARNING,FCT_CUSTOMER_ORDERS,ORDER_ID,NUMBER,"NUMBER(38,0)",104,104,104,5460
ANALYTICS,DBT_LEARNING,FCT_CUSTOMER_ORDERS,CUSTOMER_ID,NUMBER,"NUMBER(38,0)",104,104,63,5096
ANALYTICS,DBT_LEARNING,FCT_CUSTOMER_ORDERS,ORDER_PLACED_AT,DATE,DATE,104,104,70,2018-01-01..2025-02-15
ANALYTICS,DBT_LEARNING,FCT_CUSTOMER_ORDERS,ORDER_STATUS,TEXT,TEXT(16777216),104,104,5,completed..shipped
