schema,table,table_type,n_rows,n_cols,file,sha256
dbt_learning,customer_orders_legacy,table,104,13,dbt_learning__customer_orders_legacy.csv,72cb16763598b7159085c249e74cff3d81198a09f3bd774bc6f785d76baa382e
dbt_learning,date_spine,view,365,1,dbt_learning__date_spine.csv,dc774fe5882e8d224294b168de86be6ea883aa8711c9f92f5fd06b1bc6f805fd
dbt_learning,dim_customers,table,100,7,dbt_learning__dim_customers.csv,3b7e8b14a3ac48edac7474be4fae35c067feffb6e9fe83d9d479811c3306d31c
dbt_learning,employees,table,4,3,dbt_learning__employees.csv,11bd79b493cb6b24c9bd5ec3c35d39e332e7ed519c240675b48d938bbab01800
dbt_learning,fct_customer_orders,table,104,13,dbt_learning__fct_customer_orders.csv,030fe868e6ab666f58972f2438ef76ead60e6145b01b380bd5c8abc5f3682334
dbt_learning,fct_orders,table,104,11,dbt_learning__fct_orders.csv,b39ccf0a7edbade5cc4b0b58942dce4cecf61030f6b16b158f5a433fe6abc788
dbt_learning,int_orders__pivoted,view,100,5,dbt_learning__int_orders__pivoted.csv,aff13b81f0366ea53538eba38b0d50d058e66265e53e76a4ba068de81c5283aa
dbt_learning,int_order_payments,table,100,4,dbt_learning__int_order_payments.csv,f627749b6efe2576d254d507ad1f4fa64c3179eaa7e6f7ef0fce7c394ae8d547
dbt_learning,is_holiday_2024,table,365,2,dbt_learning__is_holiday_2024.csv,5965ab22d073d8a7c2e322a4becd203e16f6ce43aef0bd87853d197fc07b5d19
dbt_learning,stg_jaffle_shop_customers,view,100,3,dbt_learning__stg_jaffle_shop_customers.csv,44eb5c09cfc1f5339f9cbaefbf9b9e50e15e06a08b55856f8f0375205f769e4b
dbt_learning,stg_jaffle_shop_orders,view,104,5,dbt_learning__stg_jaffle_shop_orders.csv,5f0b4131b426dc31e0025be34f4c87e076719285253c42185b0380fed0d54d3d
dbt_learning,stg_stripe_payment,view,122,7,dbt_learning__stg_stripe_payment.csv,53d7ea69c5e6b1af5e5a395ba7b249d8df1d54da5ffce245dcf2aa8423fe7c52
mesh_dev,dim_product_supplies,table,10,8,mesh_dev__dim_product_supplies.csv,85996938ad670dd1002259ee54c2ba15ea92c74729e786b4335096ee5208a372
mesh_dev,fct_orders,table,899,13,mesh_dev__fct_orders.csv,6c8654772fc92a717a4da3527bb94ba49060f127c713cd4739f2305df352eeea
mesh_dev,fct_order_items,table,899,12,mesh_dev__fct_order_items.csv,19b96045524dd17054f8e77efad7bc7d4332ef1ad71386e6a793d54f3ff31dcb
mesh_dev,int_orders,table,899,10,mesh_dev__int_orders.csv,748def37d84e1212ce7f31e1c58fdb2457816b03778e39d00b14e331e8859bcc
mesh_dev,stg_customers,view,939,2,mesh_dev__stg_customers.csv,95df9a57c47e9f8397e69a7643ff9b7561b88363ebc910bf2dc5fd826551ace9
mesh_dev,stg_jaffle_shop__customers,view,939,2,mesh_dev__stg_jaffle_shop__customers.csv,95df9a57c47e9f8397e69a7643ff9b7561b88363ebc910bf2dc5fd826551ace9
mesh_dev,stg_jaffle_shop__locations,view,5,4,mesh_dev__stg_jaffle_shop__locations.csv,562fecb0044040ccb3831738c5e106237a2d4ca6eb3ed0b130778f33a64f5d39
mesh_dev,stg_jaffle_shop__orders,view,899,6,mesh_dev__stg_jaffle_shop__orders.csv,7d4c75f505cad94a54657d2425ea0f1ece079f105bafe4992968d592d7528a8b
mesh_dev,stg_jaffle_shop__order_items,view,899,3,mesh_dev__stg_jaffle_shop__order_items.csv,ea8eac7153de263a3d60944fad83be0b2d4a92dc2a17696188c5125eb0045208
mesh_dev,stg_jaffle_shop__products,view,10,7,mesh_dev__stg_jaffle_shop__products.csv,83d845e27016ed1895fae745a37121a409566aa6f940ee78d35cd9c3e4b00548
mesh_dev,stg_jaffle_shop__supplies,view,65,6,mesh_dev__stg_jaffle_shop__supplies.csv,22078b767b41fa353a74008be7d87dfd6cf37001f4e450f2820729b2f75235a9
mesh_dev,stg_locations,view,5,4,mesh_dev__stg_locations.csv,562fecb0044040ccb3831738c5e106237a2d4ca6eb3ed0b130778f33a64f5d39
mesh_dev,stg_orders,view,899,6,mesh_dev__stg_orders.csv,7d4c75f505cad94a54657d2425ea0f1ece079f105bafe4992968d592d7528a8b
mesh_dev,stg_order_items,view,899,3,mesh_dev__stg_order_items.csv,ea8eac7153de263a3d60944fad83be0b2d4a92dc2a17696188c5125eb0045208
mesh_dev,stg_products,view,10,7,mesh_dev__stg_products.csv,83d845e27016ed1895fae745a37121a409566aa6f940ee78d35cd9c3e4b00548
mesh_dev,stg_supplies,view,65,6,mesh_dev__stg_supplies.csv,22078b767b41fa353a74008be7d87dfd6cf37001f4e450f2820729b2f75235a9
prod,customer_orders_legacy,table,104,13,prod__customer_orders_legacy.csv,72cb16763598b7159085c249e74cff3d81198a09f3bd774bc6f785d76baa382e
prod,date_spine,view,365,1,prod__date_spine.csv,dc774fe5882e8d224294b168de86be6ea883aa8711c9f92f5fd06b1bc6f805fd
prod,dim_customers,table,100,7,prod__dim_customers.csv,3b7e8b14a3ac48edac7474be4fae35c067feffb6e9fe83d9d479811c3306d31c
prod,employees,table,4,3,prod__employees.csv,11bd79b493cb6b24c9bd5ec3c35d39e332e7ed519c240675b48d938bbab01800
prod,fct_customer_orders,table,104,13,prod__fct_customer_orders.csv,030fe868e6ab666f58972f2438ef76ead60e6145b01b380bd5c8abc5f3682334
prod,fct_orders,table,104,11,prod__fct_orders.csv,b39ccf0a7edbade5cc4b0b58942dce4cecf61030f6b16b158f5a433fe6abc788
prod,int_orders__pivoted,view,100,5,prod__int_orders__pivoted.csv,aff13b81f0366ea53538eba38b0d50d058e66265e53e76a4ba068de81c5283aa
prod,int_order_payments,table,100,4,prod__int_order_payments.csv,f627749b6efe2576d254d507ad1f4fa64c3179eaa7e6f7ef0fce7c394ae8d547
prod,is_holiday_2024,table,365,2,prod__is_holiday_2024.csv,5965ab22d073d8a7c2e322a4becd203e16f6ce43aef0bd87853d197fc07b5d19
prod,stg_jaffle_shop_customers,view,100,3,prod__stg_jaffle_shop_customers.csv,44eb5c09cfc1f5339f9cbaefbf9b9e50e15e06a08b55856f8f0375205f769e4b
prod,stg_jaffle_shop_orders,view,104,5,prod__stg_jaffle_shop_orders.csv,5f0b4131b426dc31e0025be34f4c87e076719285253c42185b0380fed0d54d3d
prod,stg_stripe_payment,view,122,7,prod__stg_stripe_payment.csv,53d7ea69c5e6b1af5e5a395ba7b249d8df1d54da5ffce245dcf2aa8423fe7c52
