order_id,customer_id,order_placed_at,order_status,total_order_amount,payment_finalized_date,transaction_seq,customer_sales_seq,nvsr,fdos,running_clv
1,1,2018-01-01,returned,25.00,2026-08-22,1,1,new,2018-01-01,25.00
10,7,2018-01-14,completed,26.00,2018-01-14,10,1,new,2018-01-14,26.00
100,100,2025-02-15,shipped,25.00,2025-02-15,100,1,new,2025-02-15,25.00
101,84,2025-02-15,shipped,,,101,3,return,2018-01-17,36.00
102,42,2025-02-15,shipped,,,102,3,return,2018-02-04,27.00
103,27,2025-02-15,shipped,,,103,3,return,2018-02-21,27.00
104,66,2025-02-15,placed,,,104,4,return,2018-02-17,39.00
11,99,2018-01-14,completed,27.00,2018-01-14,11,1,new,2018-01-14,27.00
12,59,2018-01-15,completed,1.00,2018-01-15,12,1,new,2018-01-15,1.00
13,84,2018-01-17,completed,19.00,2018-01-17,13,1,new,2018-01-17,19.00
14,40,2018-01-17,returned,3.00,2018-01-17,14,1,new,2018-01-17,3.00
15,25,2018-01-17,completed,22.00,2018-01-17,15,1,new,2018-01-17,22.00
16,39,2018-01-18,completed,10.00,2018-01-18,16,1,new,2018-01-18,10.00
17,71,2018-01-18,completed,2.00,2018-01-18,17,1,new,2018-01-18,2.00
18,64,2018-01-20,returned,13.00,2018-01-20,18,2,return,2018-01-05,30.00
19,54,2018-01-22,completed,6.00,2018-01-22,19,2,return,2018-01-07,12.00
2,3,2018-01-02,completed,20.00,2018-01-02,2,1,new,2018-01-02,20.00
20,20,2018-01-23,completed,15.00,2018-01-23,20,1,new,2018-01-23,15.00
21,71,2018-01-23,completed,12.00,2018-01-23,21,2,return,2018-01-18,14.00
22,86,2018-01-24,completed,8.00,2018-01-24,22,1,new,2018-01-24,8.00
23,22,2018-01-26,return_pending,23.00,2018-01-26,23,1,new,2018-01-26,23.00
24,3,2018-01-27,completed,26.00,2018-01-27,24,2,return,2018-01-02,46.00
25,51,2018-01-28,completed,42.00,2018-01-28,25,1,new,2018-01-28,42.00
26,32,2018-01-28,completed,30.00,2018-01-28,26,1,new,2018-01-28,30.00
27,94,2018-01-29,completed,23.00,2018-01-29,27,2,return,2018-01-04,24.00
28,8,2018-01-29,completed,19.00,2018-01-29,28,1,new,2018-01-29,19.00
29,57,2018-01-31,completed,12.00,2018-01-31,29,1,new,2018-01-31,12.00
3,94,2018-01-04,completed,1.00,2018-01-04,3,1,new,2018-01-04,1.00
30,69,2018-02-02,completed,13.00,2018-02-02,30,1,new,2018-02-02,13.00
31,16,2018-02-02,completed,12.00,2018-02-02,31,1,new,2018-02-02,12.00
32,28,2018-02-04,completed,3.00,2018-02-04,32,1,new,2018-02-04,3.00
33,42,2018-02-04,completed,22.00,2018-02-04,33,1,new,2018-02-04,22.00
34,38,2018-02-06,completed,15.00,2018-02-06,34,1,new,2018-02-06,15.00
35,80,2018-02-08,completed,29.00,2018-02-08,35,1,new,2018-02-08,29.00
36,85,2018-02-10,completed,9.00,2018-02-10,36,1,new,2018-02-10,9.00
37,1,2018-02-10,completed,23.00,2018-02-10,37,2,return,2018-01-01,48.00
38,51,2018-02-10,completed,15.00,2018-02-10,38,2,return,2018-01-28,57.00
