order_id,payment_finalized_date,total_order_amount,_batched_at
1,2026-08-22,25.00,2026-08-22T03:32:56.729000
10,2018-01-14,26.00,2026-08-02T01:25:18.071000
100,2025-02-15,25.00,2026-08-22T03:32:56.376000
11,2018-01-14,27.00,2026-08-02T01:25:18.071000
12,2018-01-15,1.00,2026-08-02T01:25:18.071000
13,2018-01-17,19.00,2026-08-02T01:25:18.071000
14,2018-01-17,3.00,2026-08-02T01:25:18.071000
15,2018-01-17,22.00,2026-08-02T01:25:18.071000
16,2018-01-18,10.00,2026-08-02T01:25:18.071000
17,2018-01-18,2.00,2026-08-02T01:25:18.071000
18,2018-01-20,13.00,2026-08-02T01:25:18.071000
19,2018-01-22,6.00,2026-08-02T01:25:18.071000
2,2018-01-02,20.00,2026-08-02T01:25:18.071000
20,2018-01-23,15.00,2026-08-02T01:25:18.071000
21,2018-01-23,12.00,2026-08-02T01:25:18.071000
22,2018-01-24,8.00,2026-08-02T01:25:18.071000
23,2018-01-26,23.00,2026-08-02T01:25:18.071000
24,2018-01-27,26.00,2026-08-02T01:25:18.071000
25,2018-01-28,42.00,2026-08-22T03:32:57.297000
26,2018-01-28,30.00,2026-08-02T01:25:18.071000
27,2018-01-29,23.00,2026-08-02T01:25:18.071000
28,2018-01-29,19.00,2026-08-02T01:25:18.071000
29,2018-01-31,12.00,2026-08-02T01:25:18.071000
3,2018-01-04,1.00,2026-08-02T01:25:18.071000
30,2018-02-02,13.00,2026-08-02T01:25:18.071000
31,2018-02-02,12.00,2026-08-02T01:25:18.071000
32,2018-02-04,3.00,2026-08-02T01:25:18.071000
33,2018-02-04,22.00,2026-08-02T01:25:18.071000
34,2018-02-06,15.00,2026-08-02T01:25:18.071000
35,2018-02-08,29.00,2026-08-02T01:25:18.071000
36,2018-02-10,9.00,2026-08-02T01:25:18.071000
37,2018-02-10,23.00,2026-08-02T01:25:18.071000
38,2018-02-10,15.00,2026-08-02T01:25:18.071000
39,2018-02-11,8.00,2026-08-02T01:25:18.071000
