order_id,credit_card_amount,coupon_amount,bank_transfer_amount,gift_card_amount
1,10.00,15.00,,
10,,,26.00,
100,25.00,,,
11,27.00,,,
12,1.00,,,
13,,,19.00,
14,,,3.00,
15,,22.00,,
16,10.00,,,
17,,,2.00,
18,13.00,,,
19,,,,6.00
2,20.00,,,
20,,,15.00,
21,12.00,,,
22,,,8.00,
23,23.00,,,
24,,26.00,,
25,22.00,,20.00,
26,30.00,,,
27,23.00,,,
28,,,19.00,
29,,,12.00,
3,,1.00,,
30,13.00,,,
31,12.00,,,
32,3.00,,,
33,22.00,,,
34,,,15.00,
35,29.00,,,
36,,,9.00,
37,23.00,,,
38,15.00,,,
39,,,8.00,
4,,25.00,,
40,14.00,,,
41,17.00,,,
42,,17.00,,
43,,,,18.00
44,,,,11.00
45,,,5.00,
46,,,8.00,
47,22.00,,,
48,,,3.00,
49,15.00,,,
5,,,17.00,
50,26.00,,,
51,30.00,,,
52,,,15.00,
53,3.00,,,
54,18.00,,11.00,
55,29.00,,,
56,4.00,,,
57,,,2.00,
58,,18.00,,6.00
59,,,,28.00
6,6.00,,,
60,4.00,,,
61,,,16.00,
62,,,,14.00
63,29.00,,,
64,,,26.00,
65,0.00,,,
66,28.00,,,
67,19.00,,4.00,
68,16.00,,,
69,19.00,,,
7,16.00,,,
70,26.00,,,
71,5.00,,,
72,29.00,,,
73,,,3.00,
74,30.00,,,
75,19.00,,,
76,,2.00,,
77,0.00,,19.00,
78,,,26.00,
79,27.00,,,
8,23.00,,,
80,,,,3.00
81,,2.00,,
82,8.00,,,
83,1.00,,,
84,,,25.00,
85,,,17.00,
86,,23.00,,
87,26.00,,,30.00
88,29.00,,,
89,,,22.00,
9,,,0.00,23.00
90,,,2.00,
91,19.00,,,
92,,2.00,15.00,
93,,,,26.00
94,,7.00,,
95,,24.00,,
96,,,,17.00
97,,,14.00,
98,,,10.00,
99,24.00,,,
