schema,table,table_type,n_rows,n_cols,file,bytes,sha256
dbt_learning,customer_orders_legacy,table,104,13,dbt_learning__customer_orders_legacy.parquet,8474,47a10a33a5112ab6c7b3986b0b0108820625ff57f373c5d813abe1d8f7f2ad76
dbt_learning,date_spine,view,365,1,dbt_learning__date_spine.parquet,2355,71f35cb92a83ae3f268e8fce21466ccc824cf500de7e91e417ea8e06d6082889
dbt_learning,dim_customers,table,100,7,dbt_learning__dim_customers.parquet,4867,3d511e713d0c26059c05ba71e34b3f2af3b33af415f99a7405dc7c8fd1de3e58
dbt_learning,employees,table,4,3,dbt_learning__employees.parquet,1374,5ca3979a336e4129bd017068b1224195743b8ded31d646b9b862cebcb8fccfe6
dbt_learning,fct_customer_orders,table,104,13,dbt_learning__fct_customer_orders.parquet,8349,245396fb25a881e8e7fa1276a2efb23e9398087d9f34551f6eea29eeb2230ba5
dbt_learning,fct_orders,table,104,11,dbt_learning__fct_orders.parquet,7138,93cebf0076346a409165a684611994fbc937e1e532524e5c36660acfb41a2cba
dbt_learning,int_orders__pivoted,view,100,5,dbt_learning__int_orders__pivoted.parquet,3342,372a08ce6319a012d5d319dfa2d38c026ce0435948636b624a11b055ce7fbcd1
dbt_learning,int_order_payments,table,100,4,dbt_learning__int_order_payments.parquet,2905,d51d207dc963b63f431df9f8157327b15d6444856c40c94a876fe8a6e90ba975
dbt_learning,is_holiday_2024,table,365,2,dbt_learning__is_holiday_2024.parquet,2604,f7119819b94bb4704733640787e6911d3b30799d2466acbe98ef11ce9c4f0c50
dbt_learning,stg_jaffle_shop_customers,view,100,3,dbt_learning__stg_jaffle_shop_customers.parquet,2621,8363b38b2679811ee145d11e9b009ff86afb8e3d4c78bf34a6ae125c11092fac
dbt_learning,stg_jaffle_shop_orders,view,104,5,dbt_learning__stg_jaffle_shop_orders.parquet,3360,8c275927f8a799c5d6bef34280f2b3845d258df210884566f1f4ed101c0463a9
dbt_learning,stg_stripe_payment,view,122,7,dbt_learning__stg_stripe_payment.parquet,4709,d8068989d074b1f698d73439360b6e5c14858b67c5c14607d2ec01dd1cd04fb5
mesh_dev,dim_product_supplies,table,10,8,mesh_dev__dim_product_supplies.parquet,3695,74a6c43edee4beba7eac1b892000820fc04f0a09b0e1b9a2d71fa77796b6641a
mesh_dev,fct_orders,table,899,13,mesh_dev__fct_orders.parquet,50929,8ef8b8e9b5b5cf4c139dc4f85b71a9b53884ec001be3e639d3cf67a628a7536e
mesh_dev,fct_order_items,table,899,12,mesh_dev__fct_order_items.parquet,68252,1f248236da48031ec5616f351f8cbac77a046ca5add465c107068847dd63bef9
mesh_dev,int_orders,table,899,10,mesh_dev__int_orders.parquet,49299,44b9d12cef74b73d7ac6ce707dda0e823929d0969c22ed7c6df26ad24d70709a
mesh_dev,stg_customers,view,939,2,mesh_dev__stg_customers.parquet,46430,e66085617963a5475d430e37f4a521dbb8753b4259a1bfffc0f392e12f604b10
mesh_dev,stg_jaffle_shop__customers,view,939,2,mesh_dev__stg_jaffle_shop__customers.parquet,46430,e66085617963a5475d430e37f4a521dbb8753b4259a1bfffc0f392e12f604b10
mesh_dev,stg_jaffle_shop__locations,view,5,4,mesh_dev__stg_jaffle_shop__locations.parquet,1921,2290df87d2e302aee6886156d5fadfe2ffdd9a5a636ff2e2fd9d094d6e671bff
mesh_dev,stg_jaffle_shop__orders,view,899,6,mesh_dev__stg_jaffle_shop__orders.parquet,45142,05c40440a57d1c6d3ced20a3762bf4058ba9c144501d6e8989c1870b7c9eb3a4
mesh_dev,stg_jaffle_shop__order_items,view,899,3,mesh_dev__stg_jaffle_shop__order_items.parquet,54657,7fae392859f0c80e8c821fb0fb09351dd9c7602dad73228801f870c33a98a54b
mesh_dev,stg_jaffle_shop__products,view,10,7,mesh_dev__stg_jaffle_shop__products.parquet,3242,fe4f9c626142ccd689701a23939fe2bfc26771759908397b0e3babbf52ed5fac
