schema,table,ordinal,column,snowflake_type,snowflake_nullable,driver_arrow_type,arrow_type,parquet_physical_type
dbt_learning,customer_orders_legacy,1,customer_id,"NUMBER(38,0)",YES,int8,"decimal128(38, 0)",FIXED_LEN_BYTE_ARRAY
dbt_learning,customer_orders_legacy,2,order_id,"NUMBER(38,0)",YES,int8,"decimal128(38, 0)",FIXED_LEN_BYTE_ARRAY
dbt_learning,customer_orders_legacy,3,order_placed_at,DATE,YES,date32[day],date32[day],INT32
dbt_learning,customer_orders_legacy,4,order_status,TEXT(16777216),YES,string,string,BYTE_ARRAY
dbt_learning,customer_orders_legacy,5,total_amount_paid,"NUMBER(38,6)",YES,"decimal128(38, 6)","decimal128(38, 6)",FIXED_LEN_BYTE_ARRAY
dbt_learning,customer_orders_legacy,6,payment_finalized_date,DATE,YES,date32[day],date32[day],INT32
dbt_learning,customer_orders_legacy,7,customer_first_name,TEXT(16777216),YES,string,string,BYTE_ARRAY
dbt_learning,customer_orders_legacy,8,customer_last_name,TEXT(16777216),YES,string,string,BYTE_ARRAY
dbt_learning,customer_orders_legacy,9,transaction_seq,"NUMBER(18,0)",YES,int8,int64,INT64
dbt_learning,customer_orders_legacy,10,customer_sales_seq,"NUMBER(18,0)",YES,int8,int64,INT64
dbt_learning,customer_orders_legacy,11,nvsr,TEXT(6),YES,string,string,BYTE_ARRAY
dbt_learning,customer_orders_legacy,12,running_clv,"NUMBER(38,6)",YES,"decimal128(38, 6)","decimal128(38, 6)",FIXED_LEN_BYTE_ARRAY
dbt_learning,customer_orders_legacy,13,fdos,DATE,YES,date32[day],date32[day],INT32
dbt_learning,date_spine,1,date_day,DATE,NO,date32[day],date32[day],INT32
dbt_learning,dim_customers,1,customer_id,"NUMBER(38,0)",YES,int8,"decimal128(38, 0)",FIXED_LEN_BYTE_ARRAY
dbt_learning,dim_customers,2,customer_first_name,TEXT(16777216),YES,string,string,BYTE_ARRAY
dbt_learning,dim_customers,3,customer_last_name,TEXT(16777216),YES,string,string,BYTE_ARRAY
dbt_learning,dim_customers,4,first_order_date,DATE,YES,date32[day],date32[day],INT32
dbt_learning,dim_customers,5,most_recent_order_date,DATE,YES,date32[day],date32[day],INT32
dbt_learning,dim_customers,6,number_of_orders,"NUMBER(18,0)",YES,int8,int64,INT64
dbt_learning,dim_customers,7,lifetime_value,"NUMBER(38,2)",YES,"decimal128(38, 2)","decimal128(38, 2)",FIXED_LEN_BYTE_ARRAY
dbt_learning,employees,1,employee_id,"NUMBER(38,0)",YES,int16,"decimal128(38, 0)",FIXED_LEN_BYTE_ARRAY
dbt_learning,employees,2,email,TEXT(16777216),YES,string,string,BYTE_ARRAY
dbt_learning,employees,3,customer_id,"NUMBER(38,0)",YES,int8,"decimal128(38, 0)",FIXED_LEN_BYTE_ARRAY
dbt_learning,fct_customer_orders,1,order_id,"NUMBER(38,0)",YES,int8,"decimal128(38, 0)",FIXED_LEN_BYTE_ARRAY
dbt_learning,fct_customer_orders,2,customer_id,"NUMBER(38,0)",YES,int8,"decimal128(38, 0)",FIXED_LEN_BYTE_ARRAY
dbt_learning,fct_customer_orders,3,order_placed_at,DATE,YES,date32[day],date32[day],INT32
dbt_learning,fct_customer_orders,4,order_status,TEXT(16777216),YES,string,string,BYTE_ARRAY
dbt_learning,fct_customer_orders,5,total_amount_paid,"NUMBER(38,2)",YES,"decimal128(38, 2)","decimal128(38, 2)",FIXED_LEN_BYTE_ARRAY
dbt_learning,fct_customer_orders,6,payment_finalized_date,DATE,YES,date32[day],date32[day],INT32
dbt_learning,fct_customer_orders,7,customer_first_name,TEXT(16777216),YES,string,string,BYTE_ARRAY
dbt_learning,fct_customer_orders,8,customer_last_name,TEXT(16777216),YES,string,string,BYTE_ARRAY
dbt_learning,fct_customer_orders,9,transaction_seq,"NUMBER(18,0)",YES,int8,int64,INT64
dbt_learning,fct_customer_orders,10,customer_sales_seq,"NUMBER(18,0)",YES,int8,int64,INT64
dbt_learning,fct_customer_orders,11,nvsr,TEXT(6),YES,string,string,BYTE_ARRAY
dbt_learning,fct_customer_orders,12,running_clv,"NUMBER(38,2)",YES,"decimal128(38, 2)","decimal128(38, 2)",FIXED_LEN_BYTE_ARRAY
dbt_learning,fct_customer_orders,13,fdos,DATE,YES,date32[day],date32[day],INT32
dbt_learning,fct_orders,1,order_id,"NUMBER(38,0)",YES,int8,"decimal128(38, 0)",FIXED_LEN_BYTE_ARRAY
dbt_learning,fct_orders,2,customer_id,"NUMBER(38,0)",YES,int8,"decimal128(38, 0)",FIXED_LEN_BYTE_ARRAY
dbt_learning,fct_orders,3,order_placed_at,DATE,YES,date32[day],date32[day],INT32
dbt_learning,fct_orders,4,order_status,TEXT(16777216),YES,string,string,BYTE_ARRAY
dbt_learning,fct_orders,5,total_order_amount,"NUMBER(38,2)",YES,"decimal128(38, 2)","decimal128(38, 2)",FIXED_LEN_BYTE_ARRAY
dbt_learning,fct_orders,6,payment_finalized_date,DATE,YES,date32[day],date32[day],INT32
dbt_learning,fct_orders,7,transaction_seq,"NUMBER(18,0)",YES,int8,int64,INT64
dbt_learning,fct_orders,8,customer_sales_seq,"NUMBER(18,0)",YES,int8,int64,INT64
dbt_learning,fct_orders,9,nvsr,TEXT(6),YES,string,string,BYTE_ARRAY
dbt_learning,fct_orders,10,fdos,DATE,YES,date32[day],date32[day],INT32
dbt_learning,fct_orders,11,running_clv,"NUMBER(38,2)",YES,"decimal128(38, 2)","decimal128(38, 2)",FIXED_LEN_BYTE_ARRAY
dbt_learning,int_orders__pivoted,1,order_id,"NUMBER(38,0)",YES,int8,"decimal128(38, 0)",FIXED_LEN_BYTE_ARRAY
dbt_learning,int_orders__pivoted,2,credit_card_amount,"NUMBER(38,2)",YES,"decimal128(38, 2)","decimal128(38, 2)",FIXED_LEN_BYTE_ARRAY
dbt_learning,int_orders__pivoted,3,coupon_amount,"NUMBER(38,2)",YES,"decimal128(38, 2)","decimal128(38, 2)",FIXED_LEN_BYTE_ARRAY
dbt_learning,int_orders__pivoted,4,bank_transfer_amount,"NUMBER(38,2)",YES,"decimal128(38, 2)","decimal128(38, 2)",FIXED_LEN_BYTE_ARRAY
dbt_learning,int_orders__pivoted,5,gift_card_amount,"NUMBER(38,2)",YES,"decimal128(38, 2)","decimal128(38, 2)",FIXED_LEN_BYTE_ARRAY
dbt_learning,int_order_payments,1,order_id,"NUMBER(38,0)",YES,int8,"decimal128(38, 0)",FIXED_LEN_BYTE_ARRAY
dbt_learning,int_order_payments,2,payment_finalized_date,DATE,YES,date32[day],date32[day],INT32
dbt_learning,int_order_payments,3,total_order_amount,"NUMBER(38,2)",YES,"decimal128(38, 2)","decimal128(38, 2)",FIXED_LEN_BYTE_ARRAY
dbt_learning,int_order_payments,4,_batched_at,TIMESTAMP_NTZ,YES,timestamp[ns],timestamp[us],INT64
dbt_learning,is_holiday_2024,1,date_day,DATE,YES,date32[day],date32[day],INT32
dbt_learning,is_holiday_2024,2,is_holiday,BOOLEAN,YES,bool,bool,BOOLEAN
dbt_learning,stg_jaffle_shop_customers,1,customer_id,"NUMBER(38,0)",YES,int8,"decimal128(38, 0)",FIXED_LEN_BYTE_ARRAY
dbt_learning,stg_jaffle_shop_customers,2,customer_first_name,TEXT(16777216),YES,string,string,BYTE_ARRAY
dbt_learning,stg_jaffle_shop_customers,3,customer_last_name,TEXT(16777216),YES,string,string,BYTE_ARRAY
dbt_learning,stg_jaffle_shop_orders,1,order_id,"NUMBER(38,0)",YES,int8,"decimal128(38, 0)",FIXED_LEN_BYTE_ARRAY
dbt_learning,stg_jaffle_shop_orders,2,customer_id,"NUMBER(38,0)",YES,int8,"decimal128(38, 0)",FIXED_LEN_BYTE_ARRAY
dbt_learning,stg_jaffle_shop_orders,3,order_placed_at,DATE,YES,date32[day],date32[day],INT32
dbt_learning,stg_jaffle_shop_orders,4,order_status,TEXT(16777216),YES,string,string,BYTE_ARRAY
dbt_learning,stg_jaffle_shop_orders,5,_etl_loaded_at,TIMESTAMP_NTZ,YES,timestamp[ns],timestamp[us],INT64
