order_id,customer_id,order_placed_at,order_status,_etl_loaded_at
1,1,2018-01-01,returned,2026-08-02T01:25:11.485000
10,7,2018-01-14,completed,2026-08-02T01:25:11.485000
100,100,2025-02-15,shipped,2026-08-20T07:37:03.562000
101,84,2025-02-15,shipped,2026-08-20T07:37:03.562000
102,42,2025-02-15,shipped,2026-08-20T07:37:03.562000
103,27,2025-02-15,shipped,2026-08-20T07:37:03.562000
104,66,2025-02-15,placed,2026-08-20T07:22:04.924000
11,99,2018-01-14,completed,2026-08-02T01:25:11.485000
12,59,2018-01-15,completed,2026-08-02T01:25:11.485000
13,84,2018-01-17,completed,2026-08-02T01:25:11.485000
14,40,2018-01-17,returned,2026-08-02T01:25:11.485000
15,25,2018-01-17,completed,2026-08-02T01:25:11.485000
16,39,2018-01-18,completed,2026-08-02T01:25:11.485000
17,71,2018-01-18,completed,2026-08-02T01:25:11.485000
18,64,2018-01-20,returned,2026-08-02T01:25:11.485000
19,54,2018-01-22,completed,2026-08-02T01:25:11.485000
2,3,2018-01-02,completed,2026-08-02T01:25:11.485000
20,20,2018-01-23,completed,2026-08-02T01:25:11.485000
21,71,2018-01-23,completed,2026-08-02T01:25:11.485000
22,86,2018-01-24,completed,2026-08-02T01:25:11.485000
23,22,2018-01-26,return_pending,2026-08-02T01:25:11.485000
24,3,2018-01-27,completed,2026-08-02T01:25:11.485000
25,51,2018-01-28,completed,2026-08-02T01:25:11.485000
26,32,2018-01-28,completed,2026-08-02T01:25:11.485000
27,94,2018-01-29,completed,2026-08-02T01:25:11.485000
28,8,2018-01-29,completed,2026-08-02T01:25:11.485000
29,57,2018-01-31,completed,2026-08-02T01:25:11.485000
3,94,2018-01-04,completed,2026-08-02T01:25:11.485000
30,69,2018-02-02,completed,2026-08-02T01:25:11.485000
31,16,2018-02-02,completed,2026-08-02T01:25:11.485000
32,28,2018-02-04,completed,2026-08-02T01:25:11.485000
33,42,2018-02-04,completed,2026-08-02T01:25:11.485000
34,38,2018-02-06,completed,2026-08-02T01:25:11.485000
35,80,2018-02-08,completed,2026-08-02T01:25:11.485000
36,85,2018-02-10,completed,2026-08-02T01:25:11.485000
37,1,2018-02-10,completed,2026-08-02T01:25:11.485000
38,51,2018-02-10,completed,2026-08-02T01:25:11.485000
39,26,2018-02-11,completed,2026-08-02T01:25:11.485000
4,50,2018-01-05,completed,2026-08-02T01:25:11.485000
40,33,2018-02-13,completed,2026-08-02T01:25:11.485000
41,99,2018-02-14,completed,2026-08-02T01:25:11.485000
42,92,2018-02-16,completed,2026-08-02T01:25:11.485000
43,31,2018-02-17,completed,2026-08-02T01:25:11.485000
